date,rain,temp,msl,wdsp,wddir,sun,clamt
01/01/1997 00:00,0,-2.9,1031.2,7,350,0,1
01/01/1997 01:00,0,-2.9,1031.4,9,30,0,1
01/01/1997 02:00,0,-3.1,1031.7,7,20,0,1
01/01/1997 03:00,0,-3.2,1031.7,8,20,0,1
01/01/1997 04:00,0,-3.5,1031.7,7,10,0,1
01/01/1997 05:00,0,-3.8,1031.8,7,20,0,1
01/01/1997 06:00,0,-3.7,1032,7,30,0,5
01/01/1997 07:00,0,-3.2,1032,8,30,0,3
01/01/1997 08:00,0,-3.4,1032,8,30,0,3
01/01/1997 09:00,0,-3.5,1032.4,8,30,0,3
01/01/1997 10:00,0,-2.9,1032.5,6,20,0.5,2
01/01/1997 11:00,0,-2,1032.4,7,20,1,1
01/01/1997 12:00,0,-0.8,1032.1,8,10,1,2
01/01/1997 13:00,0,0.3,1031.8,10,30,0.8,1
01/01/1997 14:00,0,-0.1,1031.6,10,30,0.6,3
01/01/1997 15:00,0,0.5,1031.3,10,20,1,2
01/01/1997 16:00,0,-0.1,1031.4,7,30,0.6,3
01/01/1997 17:00,0,-1.2,1031.7,6,10,0,5
01/01/1997 18:00,0,-1.2,1031.5,7,20,0,3
01/01/1997 19:00,0,-1.2,1031.5,7,20,0,3
01/01/1997 20:00,0,-1,1031.6,7,20,0,7
01/01/1997 21:00,0,-0.5,1031.8,6,20,0,5
01/01/1997 22:00,0,-0.5,1031.5,6,50,0,6
01/01/1997 23:00,0,-0.5,1031.3,4,60,0,7
02/01/1997 00:00,0,-1.6,1030.8,4,300,0,8
02/01/1997 01:00,0,-0.9,1030,5,270,0,8
02/01/1997 02:00,0,-1.1,1029.3,6,280,0,8
02/01/1997 03:00,0,-0.9,1028.4,6,280,0,8
02/01/1997 04:00,0,-0.2,1027.5,6,280,0,8
02/01/1997 05:00,0,-0.3,1026.3,7,270,0,8
02/01/1997 06:00,0,-0.3,1025.2,6,260,0,8
02/01/1997 07:00,0.3,-0.3,1024.2,6,240,0,8
02/01/1997 08:00,1.3,0.2,1023.5,6,260,0,8
02/01/1997 09:00,0.5,1.3,1022.9,7,270,0,7
02/01/1997 10:00,0,1.3,1022.8,6,320,0,3
02/01/1997 11:00,0,1.5,1022.4,5,340,0.1,1
02/01/1997 12:00,0,1.3,1022.1,6,360,0.5,6
02/01/1997 13:00,0,2.4,1021.4,7,20,0.1,6
02/01/1997 14:00,0,2.4,1021.3,7,40,0,7
02/01/1997 15:00,0,1.2,1021.6,8,80,0,8
02/01/1997 16:00,0,-0.1,1021.9,7,100,0,8
02/01/1997 17:00,0,-0.4,1022.2,7,90,0,8
02/01/1997 18:00,0,-0.7,1022.3,5,110,0,8
02/01/1997 19:00,0,-0.4,1022.7,4,70,0,8
02/01/1997 20:00,0,-0.3,1022.8,6,70,0,8
02/01/1997 21:00,0,-0.3,1022.6,3,60,0,8
02/01/1997 22:00,0,-0.5,1022.7,4,90,0,8
02/01/1997 23:00,0,-0.8,1022.7,5,90,0,8
03/01/1997 00:00,0,-0.8,1022.3,4,80,0,8
03/01/1997 01:00,0,-1.6,1022,5,20,0,8
03/01/1997 02:00,0,-2.5,1021.7,5,360,0,7
03/01/1997 03:00,0,-1.8,1021.3,5,10,0,6
03/01/1997 04:00,0,-0.7,1020.9,7,30,0,7
03/01/1997 05:00,0,-0.3,1020.6,6,30,0,7
03/01/1997 06:00,0,-0.4,1020.6,6,20,0,8
03/01/1997 07:00,0,-0.2,1020.6,5,20,0,6
03/01/1997 08:00,0,-0.4,1020.6,5,20,0,5
03/01/1997 09:00,0,-0.2,1020.7,6,40,0,5
03/01/1997 10:00,0,-0.1,1021,5,40,0.6,4
03/01/1997 11:00,0,-0.1,1021.1,8,50,1,1
03/01/1997 12:00,0,0.2,1020.8,7,60,1,1
03/01/1997 13:00,0,0.7,1020.4,7,50,1,1
03/01/1997 14:00,0,1,1020,6,40,1,1
03/01/1997 15:00,0,0.4,1019.8,7,40,1,1
03/01/1997 16:00,0,-0.1,1019.8,5,10,0.7,1
03/01/1997 17:00,0,-0.6,1019.8,5,20,0,2
03/01/1997 18:00,0,-0.2,1019.9,6,10,0,2
03/01/1997 19:00,0,-0.1,1019.7,7,10,0,3
03/01/1997 20:00,0,-0.2,1019.8,7,10,0,3
03/01/1997 21:00,0,-0.8,1019.6,7,30,0,3
03/01/1997 22:00,0,-0.9,1019.5,6,10,0,3
03/01/1997 23:00,0,-1,1019.5,6,20,0,3
04/01/1997 00:00,0,-1.4,1019.5,5,360,0,6
04/01/1997 01:00,0,-1.1,1019.3,6,20,0,7
04/01/1997 02:00,0,-1.1,1019.1,5,20,0,7
04/01/1997 03:00,0,-1.4,1019.3,4,10,0,7
04/01/1997 04:00,0,-2,1019.1,5,10,0,5
04/01/1997 05:00,0,-1.9,1019.1,5,10,0,6
04/01/1997 06:00,0,-1.8,1018.9,6,10,0,5
04/01/1997 07:00,0,-2.1,1018.8,7,30,0,5
04/01/1997 08:00,0,-2.1,1019.2,6,20,0,8
04/01/1997 09:00,0,-1.9,1019.3,5,30,0,8
04/01/1997 10:00,0.3,-1.5,1019.6,6,50,0,7
04/01/1997 11:00,0,-1.8,1019.9,5,30,0.4,6
04/01/1997 12:00,0,-0.9,1019.7,5,30,0.8,4
04/01/1997 13:00,0,-0.1,1019.2,5,30,0,7
04/01/1997 14:00,0,0.3,1019.4,4,30,0,7
04/01/1997 15:00,0,0,1019.4,5,50,0,7
04/01/1997 16:00,0,0,1019.4,6,70,0,7
04/01/1997 17:00,0,-0.2,1019.4,6,50,0,7
04/01/1997 18:00,0,-0.1,1019.5,6,60,0,7
04/01/1997 19:00,0,-0.5,1019.9,7,60,0,7
04/01/1997 20:00,0,-0.6,1020.3,6,50,0,7
04/01/1997 21:00,0,-1.2,1020.5,4,10,0,7
04/01/1997 22:00,0,-1,1020.8,5,30,0,7
04/01/1997 23:00,0,-1,1020.9,6,30,0,7
05/01/1997 00:00,0,-1.2,1020.8,6,20,0,7
05/01/1997 01:00,0,-1,1020.8,6,30,0,7
05/01/1997 02:00,0,-0.8,1020.8,6,40,0,7
05/01/1997 03:00,0,-0.9,1020.7,6,30,0,7
05/01/1997 04:00,0,-0.9,1020.7,6,30,0,7
05/01/1997 05:00,0,-0.7,1020.8,5,30,0,7
05/01/1997 06:00,0,-0.6,1020.8,6,30,0,8
05/01/1997 07:00,0,-0.5,1020.8,6,20,0,8
05/01/1997 08:00,0,-0.5,1021,7,30,0,8
05/01/1997 09:00,0,-0.4,1021.2,7,40,0,8
05/01/1997 10:00,0,-0.3,1021.6,7,30,0,7
05/01/1997 11:00,0,-0.1,1021.8,8,30,0,7
05/01/1997 12:00,0,0.3,1021.7,8,30,0,7
05/01/1997 13:00,0,0.6,1021.3,7,30,0,7
05/01/1997 14:00,0,0.6,1021.2,6,20,0,7
05/01/1997 15:00,0,0.7,1021.2,5,30,0,7
05/01/1997 16:00,0,0.4,1021.4,5,20,0,7
05/01/1997 17:00,0,0.2,1021.6,4,30,0,7
05/01/1997 18:00,0,0.6,1021.9,4,40,0,7
05/01/1997 19:00,0,0.3,1022.1,5,60,0,7
05/01/1997 20:00,0,0.1,1022.4,5,60,0,7
05/01/1997 21:00,0,0.2,1022.8,6,70,0,7
05/01/1997 22:00,0,-0.2,1023,5,70,0,8
05/01/1997 23:00,0,-0.3,1022.9,4,70,0,8
06/01/1997 00:00,0,-1,1023.3,5,20,0,8
06/01/1997 01:00,0,-0.6,1023.4,4,30,0,8
06/01/1997 02:00,0,-0.8,1023.3,4,30,0,8
06/01/1997 03:00,0,-0.3,1023.1,5,50,0,8
06/01/1997 04:00,0,-0.4,1023.1,5,40,0,8
06/01/1997 05:00,0,-0.2,1023,4,40,0,8
06/01/1997 06:00,0,0.4,1023,6,50,0,8
06/01/1997 07:00,0,0.3,1023.4,6,50,0,8
06/01/1997 08:00,0,-0.2,1023.4,6,30,0,8
06/01/1997 09:00,0,0,1023.8,5,20,0,8
06/01/1997 10:00,0,0.2,1024.1,5,20,0,7
06/01/1997 11:00,0,0.5,1024.3,5,30,0,7
06/01/1997 12:00,0,0.7,1023.9,5,30,0,8
06/01/1997 13:00,0,1,1023.7,5,10,0,8
06/01/1997 14:00,0,1.1,1023.5,5,20,0,8
06/01/1997 15:00,0,1.3,1023.4,4,20,0,8
06/01/1997 16:00,0,1.3,1023.5,5,30,0,8
06/01/1997 17:00,0,1.2,1023.6,5,30,0,7
06/01/1997 18:00,0,1.4,1023.6,6,50,0,8
06/01/1997 19:00,0,1.3,1023.7,5,70,0,8
06/01/1997 20:00,0,1.3,1023.7,7,80,0,8
06/01/1997 21:00,0,1.1,1023.6,7,80,0,8
06/01/1997 22:00,0,1.1,1023.7,6,90,0,8
06/01/1997 23:00,0,1.1,1023.5,7,90,0,8
07/01/1997 00:00,0,1,1023.4,7,90,0,8
07/01/1997 01:00,0,1,1023.1,6,90,0,8
07/01/1997 02:00,0,1,1022.9,7,90,0,8
07/01/1997 03:00,0,0.8,1022.7,6,100,0,8
07/01/1997 04:00,0,1.2,1022.3,6,90,0,8
07/01/1997 05:00,0,1.2,1022.1,7,90,0,8
07/01/1997 06:00,0,0.9,1021.8,6,100,0,8
07/01/1997 07:00,0,0.6,1021.8,7,100,0,8
07/01/1997 08:00,0,0.5,1021.7,7,100,0,8
07/01/1997 09:00,0,0.6,1021.7,7,90,0,8
07/01/1997 10:00,0,0.7,1021.9,8,90,0,8
07/01/1997 11:00,0,0.8,1021.8,9,100,0,8
07/01/1997 12:00,0,0.7,1021.2,9,100,0,8
07/01/1997 13:00,0,0.8,1020.4,10,90,0,8
07/01/1997 14:00,0,0.7,1019.9,9,90,0,8
07/01/1997 15:00,0,0.5,1019.6,9,100,0,8
07/01/1997 16:00,0,0.2,1019.4,9,100,0,8
07/01/1997 17:00,0,-0.2,1019.3,6,110,0,8
07/01/1997 18:00,0,-0.3,1019.2,7,100,0,8
07/01/1997 19:00,0,-0.5,1019,8,110,0,8
07/01/1997 20:00,0,-0.7,1019,9,100,0,8
07/01/1997 21:00,0,-0.8,1018.5,9,100,0,8
07/01/1997 22:00,0,-0.8,1017.8,10,100,0,8
07/01/1997 23:00,0,-0.9,1017.4,10,100,0,8
08/01/1997 00:00,0,-1.4,1017.4,11,100,0,8
08/01/1997 01:00,0,-1.4,1017.3,9,110,0,8
08/01/1997 02:00,0,-1.5,1016.6,9,110,0,8
08/01/1997 03:00,0,-1.3,1016.4,9,100,0,8
08/01/1997 04:00,0,-1.3,1015.8,10,100,0,8
08/01/1997 05:00,0,-1.2,1014.8,9,100,0,8
08/01/1997 06:00,0,-1,1014,9,90,0,8
08/01/1997 07:00,0,-0.8,1013.5,10,90,0,8
08/01/1997 08:00,0,-0.6,1013.2,10,90,0,8
