Forecast for Rutherford 
Location Gurteenwf  52.632  -7.596 
Nearest Gridpoint used 52.626  -7.602 
Based on Harmonie analysis of  12Z on Wednesday 14/11/2018
Wind Vectors relative to Harmonie GRID
Lambert Projection Lat0 = 53.5; Lon0 = 5.0 
Rotation and Transformation Coords
 zkl = sin(Lat0 *PI/180)  
    GNORX = -sin(zkl * (-7.602*PI/180 -lon0*pi/180)) 
    GNORY = cos(zkl * (-7.602*pi/180-lon0*PI/180)) 
 Rotate vectors; 
  UG = GNORY * uuwind(ik) - GNORX * vvwind(ik)
  VG = GNORX * uuwind(ik) + GNORY * vvwind(ik)
Forecast Interval 1 hour, starting from T+01
Day ; Date ISO8601; [yyyy-mm-dd]
Hour ; Hour ; [HH:MM]
2m Temp ;  Temperature ;  [oC]
SolRad ; Global Solar Radiation Flux (Previous 1 hour); [W/cm2/1-hour]
Rain ; Precipitation (Previous 1 hour); [mm/1-hour]
Press; Pressure AGL ; [hPa]
RelHum; Realtive Humidity ;[%]
TotCLD; Total Cloud  ;[%]
U10Wind ; U componant of Wind Vector at 10m; UnRotated
V10Wind ; V componant of Wind Vector at 10m ; UnRotated
U10WindG ; U componant of Wind Gust Vector at 10m ; UnRotated
V10WindG ; V componant of Wind Gust Vector at 10m; UnRotated
U50Wind ; U componant of Wind Vector at 50m ; UnRotated
V50Wind ; V componant of Wind Vector at 50m ; UnRotated
T50Temp ; Temperature at 50m;[oC]
U100Wind ; U componant of Wind Vector at 100m ; UnRotated
V100Wind ; V componant of Wind Vector at 100m ; UnRotated
T100Temp ; Temperature at 100m;[oC]
U305Wind ; U componant of Wind Vector at 305m ; UnRotated
V305Wind ; V componant of Wind Vector at 305m ; UnRotated
T305Temp ; Temperature at 305m;[oC]
DATA:
Day, Hour, 2m Temp, SolRad, Rain,Press,RelHum,TotCLD,U10Wind,V10Wind,U10WindG,V10WindG,U50Wind,V50Wind,T50Temp,U100Wind,V100Wind,T100Temp,U305Wind,V305Wind,T305Temp
2018-11-14,13:00,11.5,0,0,983,99,100,1.075,8.5,2.352,13.083,1.623,11.178,11.2,2.152,12.609,10.9,4.806,16.028,9.9
2018-11-14,14:00,11.6,4.52,0,983.4,99,100,0.315,8.752,1.101,13.637,0.638,11.468,11.2,1.087,12.884,10.9,3.537,16.225,9.8
2018-11-14,15:00,11.3,3.251,0,983.3,98,100,-0.144,8.412,0.133,13.371,0.176,11.074,11,0.659,12.512,10.6,3.241,15.943,9.6
2018-11-14,16:00,11.2,1.729,0,983.5,99,100,-0.579,8.45,-0.895,13.058,-0.417,11.201,10.8,0.02,12.704,10.5,2.718,16.277,9.5
2018-11-14,17:00,11,0.194,0,983.6,99,100,-0.825,9.231,-1.259,14.081,-0.747,12.213,10.7,-0.37,13.763,10.4,2.544,17.266,9.4
2018-11-14,18:00,11.1,0.001,0,983.7,98,100,-0.063,8.956,-0.975,14.281,0.23,11.779,10.8,0.656,13.273,10.4,3.507,16.779,9.4
2018-11-14,19:00,11.1,0.002,0,983.9,98,100,-0.496,7.832,-0.068,13.674,-0.533,10.365,10.8,-0.242,11.691,10.5,2.504,15.132,9.6
2018-11-14,20:00,10.9,0,0,984,99,100,-0.838,8.354,-1.258,12.816,-0.895,11.089,10.5,-0.701,12.506,10.2,2.748,15.425,9.5
2018-11-14,21:00,10.8,0,0,984,99,100,-0.903,7.995,-1.254,12.62,-0.962,10.706,10.5,-0.801,12.159,10.2,2.15,14.676,9.5
2018-11-14,22:00,10.8,0,0,984.2,99,100,-0.7,8.062,-1.652,12.586,-0.698,10.765,10.5,-0.501,12.212,10.2,2.415,15.279,9.4
2018-11-14,23:00,10.9,0,0,984.3,99,100,-0.53,7.553,-1.805,12.595,-0.496,10.097,10.6,-0.271,11.475,10.3,2.97,14.713,9.7
2018-11-15,00:00,11.1,0,0,984.3,99,100,-0.435,7.148,-0.786,11.462,-0.369,9.516,10.8,-0.068,10.76,10.5,2.82,13.718,9.6
